client_id,emp_var_rate,cons_price_idx,cons_conf_idx,euribor_3m,num_of_emp,salary,job_id
195,-1.8,93.075,-47.1,1.405,5099.1,$145k,J195
196,-0.1,93.2,-42,4.153,5195.8,$35k,J196
197,1.4,93.918,-42.7,4.96,5228.1,$215k,J197
198,1.1,93.994,-36.4,4.856,5191,$35k,J198
199,-1.8,92.893,-46.2,1.334,5099.1,$65k,J199
200,-0.1,93.2,-42,4.076,5195.8,$125k,J200
201,-2.9,92.201,-31.4,0.884,5076.2,$45k,J201
202,1.1,93.994,-36.4,4.856,5191,$85k,J202
203,-0.1,93.2,-42,4.021,5195.8,$55k,J203
204,1.4,93.444,-36.1,4.964,5228.1,$245k,J204
205,-1.1,94.767,-50.8,1.05,4963.6,$55k,J205
206,1.4,94.465,-41.8,4.959,5228.1,$45k,J206
207,-0.1,93.2,-42,4.12,5195.8,$125k,J207
208,-0.1,93.2,-42,4.12,5195.8,$65k,J208
209,1.1,93.994,-36.4,4.856,5191,$185k,J209
210,1.1,93.994,-36.4,4.857,5191,$215k,J210
211,1.4,93.918,-42.7,4.961,5228.1,$285k,J211
212,1.4,93.918,-42.7,4.96,5228.1,$215k,J212
213,1.4,93.918,-42.7,4.962,5228.1,$125k,J213
214,-1.8,92.893,-46.2,1.313,5099.1,$185k,J214
215,-1.8,92.893,-46.2,1.291,5099.1,$85k,J215
216,1.4,93.918,-42.7,4.963,5228.1,$75k,J216
217,-1.8,93.075,-47.1,1.405,5099.1,$65k,J217
218,1.4,93.444,-36.1,4.97,5228.1,$45k,J218
219,-0.1,93.2,-42,4.153,5195.8,$165k,J219
220,1.4,93.918,-42.7,4.959,5228.1,$65k,J220
221,1.4,93.918,-42.7,4.957,5228.1,$245k,J221
222,-0.1,93.2,-42,4.076,5195.8,$45k,J222
223,1.4,93.918,-42.7,4.968,5228.1,$85k,J223
224,1.4,94.465,-41.8,4.865,5228.1,$85k,J224
225,1.4,93.918,-42.7,4.961,5228.1,$35k,J225
226,-1.8,92.893,-46.2,1.244,5099.1,$95k,J226
227,-1.8,93.075,-47.1,1.453,5099.1,$145k,J227
228,1.1,93.994,-36.4,4.857,5191,$285k,J228
229,-3.4,92.649,-30.1,0.715,5017.5,$145k,J229
230,1.4,94.465,-41.8,4.96,5228.1,$145k,J230
231,1.1,93.994,-36.4,4.864,5191,$95k,J231
232,1.4,94.465,-41.8,4.959,5228.1,$55k,J232
233,1.4,94.465,-41.8,4.967,5228.1,$85k,J233
234,1.4,93.444,-36.1,4.963,5228.1,$105k,J234
235,1.4,93.444,-36.1,4.963,5228.1,$105k,J235
236,1.4,93.918,-42.7,4.96,5228.1,$285k,J236
237,-1.8,92.893,-46.2,1.313,5099.1,$105k,J237
238,1.4,93.444,-36.1,4.964,5228.1,$95k,J238
239,-1.8,92.843,-50,1.778,5099.1,$55k,J239
240,1.4,93.918,-42.7,4.962,5228.1,$165k,J240
241,1.1,93.994,-36.4,4.856,5191,$165k,J241
242,1.4,93.918,-42.7,4.968,5228.1,$245k,J242
243,1.4,93.918,-42.7,4.96,5228.1,$55k,J243
244,1.4,93.444,-36.1,4.965,5228.1,$105k,J244
245,-1.8,92.893,-46.2,1.327,5099.1,$35k,J245
246,-1.8,92.893,-46.2,1.327,5099.1,$215k,J246
247,1.4,94.465,-41.8,4.961,5228.1,$75k,J247
248,-1.8,93.075,-47.1,1.405,5099.1,$185k,J248
249,-0.1,93.2,-42,4.076,5195.8,$285k,J249
250,1.1,93.994,-36.4,4.856,5191,$165k,J250
251,1.4,93.444,-36.1,4.965,5228.1,$105k,J251
252,-3.4,92.379,-29.8,0.773,5017.5,$105k,J252
253,1.4,93.918,-42.7,4.963,5228.1,$145k,J253
254,1.1,93.994,-36.4,4.859,5191,$245k,J254
255,1.4,94.465,-41.8,4.96,5228.1,$165k,J255
256,1.4,93.444,-36.1,4.966,5228.1,$45k,J256
257,1.1,93.994,-36.4,4.856,5191,$75k,J257
258,1.1,93.994,-36.4,4.856,5191,$105k,J258
259,1.4,93.918,-42.7,4.963,5228.1,$45k,J259
260,1.4,93.444,-36.1,4.967,5228.1,$75k,J260
261,1.4,93.918,-42.7,4.961,5228.1,$185k,J261
262,1.4,93.918,-42.7,4.963,5228.1,$35k,J262
263,-1.1,94.767,-50.8,1.035,4963.6,$125k,J263
264,1.4,93.444,-36.1,4.97,5228.1,$85k,J264
265,1.4,93.444,-36.1,4.963,5228.1,$185k,J265
266,1.4,93.444,-36.1,4.966,5228.1,$145k,J266
267,1.4,94.465,-41.8,4.864,5228.1,$245k,J267
268,1.4,93.918,-42.7,4.961,5228.1,$285k,J268
269,1.1,93.994,-36.4,4.859,5191,$55k,J269
270,1.4,94.465,-41.8,4.864,5228.1,$85k,J270
271,1.4,93.444,-36.1,4.97,5228.1,$125k,J271
272,1.1,93.994,-36.4,4.857,5191,$125k,J272
273,1.1,93.994,-36.4,4.857,5191,$55k,J273
274,1.4,94.465,-41.8,4.865,5228.1,$185k,J274
275,-1.8,93.075,-47.1,1.41,5099.1,$105k,J275
276,1.1,93.994,-36.4,4.856,5191,$165k,J276
277,1.4,94.465,-41.8,4.958,5228.1,$55k,J277
278,-0.1,93.2,-42,4.153,5195.8,$65k,J278
279,-1.7,94.027,-38.3,0.9,4991.6,$215k,J279
280,1.4,93.444,-36.1,4.964,5228.1,$105k,J280
281,1.1,93.994,-36.4,4.857,5191,$105k,J281
282,1.1,93.994,-36.4,4.857,5191,$75k,J282
283,-1.7,94.027,-38.3,0.898,4991.6,$145k,J283
284,1.1,93.994,-36.4,4.858,5191,$285k,J284
285,1.1,93.994,-36.4,4.857,5191,$55k,J285
286,1.4,93.918,-42.7,4.963,5228.1,$75k,J286
287,1.1,93.994,-36.4,4.855,5191,$165k,J287
288,-0.1,93.2,-42,4.076,5195.8,$75k,J288
289,-1.7,94.055,-39.8,0.742,4991.6,$75k,J289
290,1.1,93.994,-36.4,4.855,5191,$95k,J290
291,1.1,93.994,-36.4,4.857,5191,$95k,J291
292,-1.8,93.075,-47.1,1.405,5099.1,$185k,J292
293,-1.7,94.215,-40.3,0.861,4991.6,$55k,J293
294,1.4,93.444,-36.1,4.963,5228.1,$75k,J294
295,1.4,93.918,-42.7,4.961,5228.1,$65k,J295
296,-1.8,92.893,-46.2,1.344,5099.1,$95k,J296
297,1.1,93.994,-36.4,4.859,5191,$145k,J297
298,-1.8,92.893,-46.2,1.266,5099.1,$55k,J298
299,1.1,93.994,-36.4,4.86,5191,$215k,J299
300,-1.8,92.893,-46.2,1.244,5099.1,$95k,J300
301,1.1,93.994,-36.4,4.86,5191,$125k,J301
302,1.4,94.465,-41.8,4.961,5228.1,$45k,J302
303,1.4,93.444,-36.1,4.965,5228.1,$285k,J303
304,1.4,93.918,-42.7,4.958,5228.1,$125k,J304
305,1.1,93.994,-36.4,4.858,5191,$85k,J305
306,1.1,93.994,-36.4,4.857,5191,$215k,J306
307,1.4,94.465,-41.8,4.958,5228.1,$35k,J307
308,1.4,94.465,-41.8,4.864,5228.1,$215k,J308
309,-1.8,92.893,-46.2,1.281,5099.1,$85k,J309
310,-0.1,93.2,-42,4.12,5195.8,$55k,J310
311,1.4,93.444,-36.1,4.964,5228.1,$245k,J311
312,1.4,93.918,-42.7,4.963,5228.1,$285k,J312
313,1.1,93.994,-36.4,4.858,5191,$95k,J313
314,1.1,93.994,-36.4,4.857,5191,$245k,J314
315,1.4,93.918,-42.7,4.962,5228.1,$75k,J315
316,-1.8,93.369,-34.8,0.639,5008.7,$185k,J316
317,1.4,94.465,-41.8,4.865,5228.1,$75k,J317
318,1.1,93.994,-36.4,4.857,5191,$125k,J318
319,1.1,93.994,-36.4,4.855,5191,$215k,J319
320,1.1,93.994,-36.4,4.857,5191,$85k,J320
321,-1.8,92.893,-46.2,1.281,5099.1,$215k,J321
322,1.4,94.465,-41.8,4.864,5228.1,$55k,J322
323,1.4,94.465,-41.8,4.959,5228.1,$45k,J323
324,1.4,93.918,-42.7,4.968,5228.1,$75k,J324
325,1.1,93.994,-36.4,4.856,5191,$105k,J325
326,1.1,93.994,-36.4,4.864,5191,$215k,J326
327,-1.8,92.893,-46.2,1.25,5099.1,$285k,J327
328,1.4,93.918,-42.7,4.961,5228.1,$145k,J328
329,-1.8,92.893,-46.2,1.244,5099.1,$125k,J329
330,1.4,93.444,-36.1,4.965,5228.1,$215k,J330
331,1.4,93.918,-42.7,4.968,5228.1,$285k,J331
332,1.1,93.994,-36.4,4.856,5191,$55k,J332
333,1.1,93.994,-36.4,4.856,5191,$185k,J333
334,-1.8,93.075,-47.1,1.405,5099.1,$55k,J334
335,-1.8,92.893,-46.2,1.281,5099.1,$105k,J335
336,-1.8,92.893,-46.2,1.313,5099.1,$165k,J336
337,1.1,93.994,-36.4,4.857,5191,$45k,J337
338,1.1,93.994,-36.4,4.857,5191,$45k,J338
339,-1.8,92.893,-46.2,1.354,5099.1,$95k,J339
340,-1.8,92.893,-46.2,1.264,5099.1,$215k,J340
341,-1.7,94.055,-39.8,0.704,4991.6,$165k,J341
342,1.4,93.444,-36.1,4.968,5228.1,$215k,J342
343,-0.1,93.2,-42,4.153,5195.8,$45k,J343
344,1.4,94.465,-41.8,4.865,5228.1,$125k,J344
345,1.4,93.444,-36.1,4.963,5228.1,$215k,J345
346,-1.8,92.893,-46.2,1.344,5099.1,$245k,J346
347,1.1,93.994,-36.4,4.859,5191,$105k,J347
348,1.4,93.918,-42.7,4.962,5228.1,$85k,J348
349,1.4,93.444,-36.1,4.965,5228.1,$35k,J349
350,1.4,93.444,-36.1,4.963,5228.1,$285k,J350
351,1.1,93.994,-36.4,4.859,5191,$35k,J351
352,-0.1,93.2,-42,4.021,5195.8,$95k,J352
353,1.1,93.994,-36.4,4.857,5191,$55k,J353
354,1.1,93.994,-36.4,4.856,5191,$45k,J354
355,1.1,93.994,-36.4,4.864,5191,$35k,J355
356,-0.1,93.2,-42,4.076,5195.8,$125k,J356
357,1.4,93.918,-42.7,4.963,5228.1,$245k,J357
358,-1.8,92.893,-46.2,1.291,5099.1,$215k,J358
359,-1.8,92.893,-46.2,1.281,5099.1,$55k,J359
360,1.4,93.918,-42.7,4.961,5228.1,$55k,J360
361,1.4,93.918,-42.7,4.958,5228.1,$215k,J361
362,1.4,94.465,-41.8,4.961,5228.1,$145k,J362
363,1.4,93.918,-42.7,4.963,5228.1,$215k,J363
364,-1.8,92.893,-46.2,1.266,5099.1,$85k,J364
365,1.4,93.444,-36.1,4.964,5228.1,$165k,J365
366,1.1,93.994,-36.4,4.857,5191,$185k,J366
367,-1.8,92.893,-46.2,1.334,5099.1,$95k,J367
368,1.4,93.444,-36.1,4.968,5228.1,$215k,J368
369,1.4,93.918,-42.7,4.961,5228.1,$215k,J369
370,1.1,93.994,-36.4,4.858,5191,$105k,J370
371,1.4,93.444,-36.1,4.966,5228.1,$95k,J371
372,-1.8,92.893,-46.2,1.327,5099.1,$285k,J372
373,1.4,93.444,-36.1,4.964,5228.1,$55k,J373
374,1.4,93.918,-42.7,4.962,5228.1,$215k,J374
375,1.1,93.994,-36.4,4.855,5191,$95k,J375
376,1.4,93.444,-36.1,4.963,5228.1,$125k,J376
377,1.4,94.465,-41.8,4.961,5228.1,$145k,J377
378,1.4,93.444,-36.1,4.966,5228.1,$65k,J378
379,-1.8,92.893,-46.2,1.27,5099.1,$75k,J379
380,1.1,93.994,-36.4,4.86,5191,$105k,J380
381,1.4,94.465,-41.8,4.865,5228.1,$95k,J381
382,-1.8,92.893,-46.2,1.354,5099.1,$185k,J382
383,1.4,93.918,-42.7,4.961,5228.1,$215k,J383
384,-1.8,92.893,-46.2,1.313,5099.1,$65k,J384
385,1.1,93.994,-36.4,4.857,5191,$245k,J385
386,-1.8,92.893,-46.2,1.334,5099.1,$65k,J386
387,1.1,93.994,-36.4,4.857,5191,$245k,J387
388,-1.8,92.893,-46.2,1.244,5099.1,$245k,J388
389,-1.8,92.893,-46.2,1.299,5099.1,$85k,J389
390,-1.8,92.893,-46.2,1.27,5099.1,$145k,J390
391,-0.1,93.2,-42,4.076,5195.8,$45k,J391
392,-1.8,93.075,-47.1,1.405,5099.1,$105k,J392
393,1.4,93.918,-42.7,4.963,5228.1,$285k,J393
394,1.4,93.444,-36.1,4.964,5228.1,$145k,J394
395,1.4,93.444,-36.1,4.968,5228.1,$125k,J395
396,1.4,93.444,-36.1,4.965,5228.1,$65k,J396
397,1.4,93.918,-42.7,4.961,5228.1,$75k,J397
398,1.4,93.918,-42.7,4.961,5228.1,$75k,J398
399,-1.8,92.893,-46.2,1.25,5099.1,$185k,J399
400,-0.1,93.2,-42,4.021,5195.8,$105k,J400
401,-1.8,92.893,-46.2,1.334,5099.1,$85k,J401
402,1.1,93.994,-36.4,4.858,5191,$105k,J402
403,1.4,93.444,-36.1,4.962,5228.1,$245k,J403
404,1.4,93.918,-42.7,4.962,5228.1,$185k,J404
405,1.4,93.444,-36.1,4.963,5228.1,$85k,J405
406,-1.8,93.075,-47.1,1.365,5099.1,$285k,J406
407,1.1,93.994,-36.4,4.86,5191,$35k,J407
408,1.1,93.994,-36.4,4.855,5191,$35k,J408
409,1.1,93.994,-36.4,4.857,5191,$285k,J409
410,1.4,93.918,-42.7,4.958,5228.1,$285k,J410
411,1.4,93.444,-36.1,4.964,5228.1,$95k,J411
412,1.1,93.994,-36.4,4.856,5191,$245k,J412
413,1.4,93.444,-36.1,4.968,5228.1,$95k,J413
414,1.1,93.994,-36.4,4.859,5191,$55k,J414
415,-0.1,93.2,-42,4.153,5195.8,$95k,J415
416,1.4,93.444,-36.1,4.965,5228.1,$55k,J416
417,-1.8,92.893,-46.2,1.281,5099.1,$215k,J417
418,1.4,93.444,-36.1,4.963,5228.1,$45k,J418
419,1.1,93.994,-36.4,4.856,5191,$55k,J419
420,1.1,93.994,-36.4,4.856,5191,$285k,J420
421,-1.1,94.767,-50.8,1.05,4963.6,$215k,J421
422,1.1,93.994,-36.4,4.864,5191,$125k,J422
423,1.1,93.994,-36.4,4.857,5191,$185k,J423
424,-2.9,92.469,-33.6,1.029,5076.2,$215k,J424
425,-0.1,93.2,-42,4.076,5195.8,$105k,J425
426,-1.8,93.876,-40,0.695,5008.7,$285k,J426
427,1.1,93.994,-36.4,4.857,5191,$95k,J427
428,1.1,93.994,-36.4,4.856,5191,$65k,J428
429,-1.8,93.075,-47.1,1.405,5099.1,$35k,J429
430,1.4,93.444,-36.1,4.964,5228.1,$215k,J430
431,1.4,93.918,-42.7,4.962,5228.1,$125k,J431
432,-1.8,92.893,-46.2,1.281,5099.1,$145k,J432
433,1.4,93.918,-42.7,4.963,5228.1,$245k,J433
434,1.4,93.444,-36.1,4.963,5228.1,$285k,J434
435,1.4,93.444,-36.1,4.964,5228.1,$45k,J435
436,1.4,93.918,-42.7,4.958,5228.1,$215k,J436
437,-0.1,93.2,-42,4.021,5195.8,$125k,J437
438,1.4,93.918,-42.7,4.962,5228.1,$125k,J438
439,-1.8,92.893,-46.2,1.291,5099.1,$215k,J439
440,1.4,93.918,-42.7,4.962,5228.1,$75k,J440
441,1.4,93.918,-42.7,4.962,5228.1,$145k,J441
442,-1.1,94.199,-37.5,0.879,4963.6,$95k,J442
443,1.4,93.444,-36.1,4.966,5228.1,$105k,J443
444,1.4,94.465,-41.8,4.864,5228.1,$55k,J444
445,1.4,93.444,-36.1,4.966,5228.1,$65k,J445
446,1.1,93.994,-36.4,4.857,5191,$285k,J446
447,-1.8,92.893,-46.2,1.313,5099.1,$245k,J447
448,1.1,93.994,-36.4,4.857,5191,$165k,J448
449,-1.1,94.767,-50.8,1.039,4963.6,$95k,J449
450,-1.8,92.893,-46.2,1.313,5099.1,$35k,J450
451,-1.8,92.843,-50,1.531,5099.1,$125k,J451
