loan_id,client_id,credit_default,housing_loan,personal_loan,credit_score
1L220306,306,no,yes,yes,597
1L220307,307,unknown,yes,no,619
1L220308,308,no,no,no,733
1L220309,309,unknown,no,no,466
1L220310,310,no,yes,no,370
1L220311,311,no,yes,no,617
1L220312,312,no,yes,yes,499
1L220313,313,unknown,yes,no,629
1L220314,314,no,no,no,799
1L220315,315,unknown,yes,no,627
1L220316,316,no,yes,no,778
1L220317,317,no,yes,no,507
1L220318,318,no,no,no,353
1L220319,319,no,yes,no,514
1L220320,320,unknown,no,no,651
1L220321,321,no,no,no,381
1L220322,322,no,yes,no,795
1L220323,323,no,no,no,595
1L220324,324,no,no,no,437
1L220325,325,no,yes,no,352
1L220326,326,no,no,no,708
1L220327,327,unknown,yes,no,817
1L220328,328,unknown,no,no,567
1L220329,329,no,yes,no,355
1L220330,330,no,no,no,568
1L220331,331,no,no,no,832
1L220332,332,no,no,no,644
1L220333,333,no,no,no,533
1L220334,334,no,yes,no,506
1L220335,335,unknown,no,no,545
1L220336,336,unknown,no,no,631
1L220337,337,no,no,no,839
1L220338,338,unknown,yes,no,348
1L220339,339,no,no,no,433
1L220340,340,no,yes,no,528
1L220341,341,no,yes,no,565
1L220342,342,no,yes,no,465
1L220343,343,no,no,no,437
1L220344,344,unknown,no,yes,527
1L220345,345,unknown,yes,no,690
1L220346,346,no,no,no,649
1L220347,347,unknown,no,yes,705
1L220348,348,unknown,no,no,311
1L220349,349,unknown,yes,yes,718
1L220350,350,unknown,no,no,660
1L220351,351,unknown,no,no,669
1L220352,352,no,yes,no,503
1L220353,353,no,yes,no,487
1L220354,354,no,yes,no,807
1L220355,355,no,no,no,417
1L220356,356,no,no,no,354
1L220357,357,no,no,no,689
1L220358,358,no,yes,no,325
1L220359,359,no,no,no,324
1L220360,360,no,no,no,758
1L220361,361,no,yes,no,663
1L220362,362,unknown,yes,yes,798
1L220363,363,no,yes,no,446
1L220364,364,unknown,yes,yes,637
1L220365,365,no,yes,no,670
1L220366,366,no,no,no,663
1L220367,367,no,yes,no,477
1L220368,368,unknown,yes,yes,351
1L220369,369,no,yes,no,349
1L220370,370,no,yes,no,524
1L220371,371,unknown,no,no,371
1L220372,372,unknown,yes,no,705
1L220373,373,no,yes,no,521
1L220374,374,no,yes,no,610
1L220375,375,no,no,no,761
1L220376,376,no,unknown,unknown,306
1L220377,377,unknown,no,no,471
1L220378,378,unknown,yes,no,430
1L220379,379,no,no,no,787
1L220380,380,no,no,no,343
1L220381,381,unknown,yes,no,785
1L220382,382,no,no,no,351
1L220383,383,no,yes,no,416
1L220384,384,no,no,no,395
1L220385,385,no,no,yes,761
1L220386,386,no,no,no,366
1L220387,387,no,unknown,unknown,713
1L220388,388,no,no,no,468
1L220389,389,no,yes,yes,806
1L220390,390,no,no,no,481
1L220391,391,no,yes,no,828
1L220392,392,unknown,no,no,757
1L220393,393,no,yes,yes,397
1L220394,394,unknown,yes,no,819
1L220395,395,no,no,no,439
1L220396,396,no,no,no,492
1L220397,397,no,yes,no,372
1L220398,398,no,no,yes,675
1L220399,399,no,no,yes,624
1L220400,400,no,no,no,412
1L220401,401,no,no,no,673
1L220402,402,no,no,no,503
1L220403,403,no,yes,no,325
1L220404,404,no,yes,no,426
1L220405,405,no,no,yes,421
1L220406,406,no,yes,no,650
1L220407,407,unknown,yes,no,749
1L220408,408,no,yes,no,724
1L220409,409,no,no,yes,527
1L220410,410,unknown,no,no,803
1L220411,411,no,yes,no,355
1L220412,412,unknown,no,yes,510
1L220413,413,no,no,no,520
1L220414,414,unknown,no,no,328
1L220415,415,no,yes,no,351
1L220416,416,no,no,no,774
1L220417,417,no,no,yes,502
1L220418,418,no,no,no,326
1L220419,419,no,yes,no,786
1L220420,420,no,yes,no,542
1L220421,421,no,yes,yes,604
1L220422,422,no,yes,no,438
1L220423,423,no,unknown,unknown,815
1L220424,424,no,no,no,834
1L220425,425,no,yes,no,699
1L220426,426,no,yes,yes,457
1L220427,427,no,no,no,835
1L220428,428,unknown,yes,no,518
1L220429,429,no,yes,no,784
1L220430,430,no,yes,no,707
1L220431,431,no,yes,no,562
1L220432,432,unknown,yes,yes,629
1L220433,433,no,no,no,602
1L220434,434,no,yes,no,642
1L220435,435,no,yes,no,706
1L220436,436,no,yes,no,559
1L220437,437,no,yes,no,522
1L220438,438,no,no,no,693
1L220439,439,no,yes,no,811
1L220440,440,unknown,no,no,797
1L220441,441,no,no,no,332
1L220442,442,no,yes,no,696
1L220443,443,no,yes,no,745
1L220444,444,no,no,yes,686
1L220445,445,no,no,no,365
1L220446,446,unknown,yes,no,547
1L220447,447,no,no,no,542
1L220448,448,no,yes,no,615
1L220449,449,no,yes,no,357
1L220450,450,no,yes,yes,515
1L220451,451,no,yes,no,832
1L220452,452,no,no,no,825
1L220453,453,no,yes,no,405
1L220454,454,no,yes,no,541
1L220455,455,no,yes,no,553
1L220456,456,no,yes,yes,558
1L220457,457,no,no,no,754
1L220458,458,no,yes,no,692
1L220459,459,no,no,no,788
1L220460,460,no,yes,no,721
1L220461,461,unknown,yes,no,788
1L220462,462,no,yes,no,847
1L220463,463,no,no,yes,732
1L220464,464,no,no,no,648
1L220465,465,unknown,no,no,607
1L220466,466,no,unknown,unknown,523
1L220467,467,no,no,no,844
1L220468,468,no,no,yes,488
1L220469,469,no,unknown,unknown,572
1L220470,470,no,yes,no,565
1L220471,471,no,yes,no,604
1L220472,472,no,no,no,354
1L220473,473,no,yes,no,724
1L220474,474,no,yes,no,827
1L220475,475,no,unknown,unknown,370
1L220476,476,no,no,no,369
1L220477,477,no,no,no,670
1L220478,478,no,no,no,317
1L220479,479,no,no,yes,369
1L220480,480,no,no,no,627
1L220481,481,unknown,no,no,502
1L220482,482,unknown,no,no,787
1L220483,483,no,no,no,769
1L220484,484,no,no,no,406
1L220485,485,unknown,no,no,755
1L220486,486,unknown,yes,no,537
1L220487,487,no,yes,no,763
1L220488,488,no,yes,no,741
1L220489,489,no,yes,no,344
1L220490,490,no,no,no,711
1L220491,491,unknown,no,no,668
1L220492,492,no,yes,no,520
1L220493,493,unknown,yes,no,698
1L220494,494,no,yes,no,809
1L220495,495,no,yes,no,797
1L220496,496,no,no,no,414
1L220497,497,no,no,no,837
1L220498,498,no,no,no,819
1L220499,499,no,no,no,650
1L220500,500,no,yes,yes,555
1L220501,501,no,yes,yes,478
1L220502,502,unknown,no,no,324
1L220503,503,no,no,no,788
1L220504,504,no,yes,yes,595
1L220505,505,unknown,yes,no,375
1L220506,506,no,no,no,491
1L220507,507,no,yes,yes,620
1L220508,508,unknown,no,no,848
1L220509,509,no,no,yes,776
1L220510,510,no,yes,no,347
1L220511,511,no,no,no,332
1L220512,512,no,yes,no,789
1L220513,513,no,yes,no,777
1L220514,514,unknown,no,no,579
1L220515,515,no,yes,no,616
1L220516,516,no,yes,no,837
1L220517,517,no,yes,no,385
1L220518,518,no,yes,no,724
1L220519,519,no,yes,no,793
1L220520,520,no,yes,no,760
1L220521,521,no,yes,no,399
1L220522,522,no,yes,no,390
1L220523,523,no,no,no,764
1L220524,524,no,yes,yes,686
1L220525,525,no,yes,no,611
1L220526,526,no,yes,no,585
1L220527,527,unknown,no,no,770
1L220528,528,no,no,no,402
1L220529,529,unknown,yes,yes,520
1L220530,530,no,unknown,unknown,474
1L220531,531,unknown,no,no,811
1L220532,532,no,yes,no,767
1L220533,533,no,yes,no,810
1L220534,534,no,yes,yes,628
1L220535,535,no,yes,no,461
1L220536,536,unknown,no,yes,816
1L220537,537,no,yes,no,765
1L220538,538,no,no,no,480
1L220539,539,no,yes,no,780
1L220540,540,no,no,no,796
1L220541,541,no,yes,no,714
1L220542,542,unknown,yes,no,707
1L220543,543,no,yes,no,354
1L220544,544,no,unknown,unknown,555
1L220545,545,unknown,yes,no,791
1L220546,546,no,yes,no,839
1L220547,547,no,yes,no,742
1L220548,548,no,no,no,472
1L220549,549,no,no,no,631
1L220550,550,no,yes,no,537
1L220551,551,no,no,no,781
1L220552,552,no,yes,no,514
1L220553,553,no,no,no,508
1L220554,554,no,yes,no,628
1L220555,555,no,yes,no,479
1L220556,556,no,no,no,566
1L220557,557,unknown,no,no,789
1L220558,558,no,no,no,668
1L220559,559,no,no,no,463
1L220560,560,no,yes,no,303
1L220561,561,no,yes,no,732
1L220562,562,no,yes,no,479
1L220563,563,unknown,no,no,815
1L220564,564,unknown,unknown,unknown,352
1L220565,565,no,no,no,467
1L220566,566,no,yes,no,476
1L220567,567,unknown,no,yes,395
1L220568,568,no,no,no,528
1L220569,569,no,yes,yes,452
1L220570,570,no,yes,yes,533
1L220571,571,no,yes,no,486
1L220572,572,no,no,yes,643
1L220573,573,no,no,no,311
1L220574,574,no,no,no,658
1L220575,575,no,yes,yes,417
1L220576,576,no,yes,yes,828
1L220577,577,no,no,no,547
1L220578,578,no,yes,no,838
1L220579,579,no,unknown,unknown,808
1L220580,580,no,no,no,682
1L220581,581,no,no,no,399
1L220582,582,no,no,yes,833
1L220583,583,no,no,no,491
1L220584,584,no,no,yes,461
1L220585,585,no,no,no,838
1L220586,586,no,yes,no,742
1L220587,587,no,yes,no,314
1L220588,588,unknown,no,no,781
1L220589,589,no,yes,yes,364
1L220590,590,no,yes,no,576
1L220591,591,no,unknown,unknown,560
1L220592,592,no,yes,no,715
1L220593,593,no,no,no,603
1L220594,594,no,yes,no,459
1L220595,595,unknown,no,no,531
1L220596,596,no,yes,no,707
1L220597,597,no,yes,no,729
1L220598,598,no,yes,yes,387
1L220599,599,no,yes,no,331
1L220600,600,no,no,yes,662
1L220601,601,unknown,no,no,793
1L220602,602,no,no,no,516
1L220603,603,no,yes,no,798
1L220604,604,unknown,yes,no,697
1L220605,605,no,no,no,665
1L220606,606,no,no,no,808
1L220607,607,no,yes,no,570
1L220608,608,no,yes,no,746
1L220609,609,unknown,no,no,736
1L220610,610,no,no,no,544
1L220611,611,no,no,no,601
1L220612,612,no,yes,no,383
1L220613,613,no,yes,no,602
1L220614,614,no,yes,yes,615
1L220615,615,no,yes,no,697
1L220616,616,unknown,yes,no,498
1L220617,617,no,yes,no,687
1L220618,618,unknown,no,no,667
1L220619,619,no,no,no,720
1L220620,620,no,yes,no,463
1L220621,621,no,yes,no,741
1L220622,622,no,no,no,331
1L220623,623,no,no,no,426
1L220624,624,no,yes,no,386
1L220625,625,no,yes,yes,465
1L220626,626,unknown,no,no,467
1L220627,627,no,yes,yes,776
1L220628,628,no,yes,yes,662
1L220629,629,no,yes,no,710
1L220630,630,no,no,no,828
1L220631,631,no,yes,no,618
1L220632,632,no,no,yes,667
1L220633,633,no,yes,no,512
1L220634,634,no,no,no,588
1L220635,635,no,no,no,686
1L220636,636,no,no,no,339
1L220637,637,no,yes,no,553
1L220638,638,no,yes,yes,607
1L220639,639,no,yes,no,779
1L220640,640,unknown,no,no,428
1L220641,641,no,no,no,409
1L220642,642,no,yes,no,434
1L220643,643,no,yes,no,623
1L220644,644,no,yes,no,779
1L220645,645,no,yes,no,576
1L220646,646,unknown,no,no,773
1L220647,647,no,no,no,606
1L220648,648,unknown,yes,no,502
1L220649,649,no,yes,no,493
1L220650,650,no,yes,no,682
1L220651,651,no,yes,no,415
1L220652,652,unknown,yes,no,423
1L220653,653,no,yes,no,788
1L220654,654,no,yes,yes,720
1L220655,655,unknown,yes,yes,478
1L220656,656,unknown,no,yes,364
1L220657,657,no,no,no,749
1L220658,658,no,no,no,770
1L220659,659,no,no,no,458
1L220660,660,no,yes,no,769
1L220661,661,no,no,no,421
1L220662,662,no,yes,no,535
1L220663,663,no,no,no,530
1L220664,664,unknown,yes,no,471
1L220665,665,no,yes,yes,329
1L220666,666,no,no,yes,797
1L220667,667,no,yes,no,301
1L220668,668,no,yes,no,674
1L220669,669,no,no,no,542
1L220670,670,no,yes,no,320
1L220671,671,no,yes,yes,303
1L220672,672,unknown,unknown,unknown,363
1L220673,673,no,yes,no,748
1L220674,674,no,yes,no,672
1L220675,675,no,yes,no,423
1L220676,676,no,unknown,unknown,493
1L220677,677,no,yes,no,341
1L220678,678,unknown,yes,no,476
1L220679,679,no,no,no,349
1L220680,680,no,no,no,417
1L220681,681,unknown,yes,no,525
1L220682,682,no,no,no,335
1L220683,683,no,yes,no,495
1L220684,684,no,yes,no,502
1L220685,685,no,yes,yes,791
1L220686,686,no,yes,yes,453
1L220687,687,unknown,no,no,474
1L220688,688,unknown,no,no,561
1L220689,689,no,yes,yes,756
1L220690,690,no,yes,no,430
1L220691,691,no,yes,yes,648
1L220692,692,no,no,no,437
1L220693,693,no,no,no,511
1L220694,694,no,no,no,545
1L220695,695,no,no,no,304
1L220696,696,no,yes,no,835
1L220697,697,unknown,yes,yes,427
1L220698,698,no,no,no,799
1L220699,699,no,no,yes,419
1L220700,700,no,yes,no,845
1L220701,701,no,yes,no,341
1L220702,702,no,yes,no,438
1L220703,703,no,yes,no,471
1L220704,704,unknown,yes,no,773
1L220705,705,no,no,no,485
1L220706,706,no,no,no,785
1L220707,707,unknown,no,yes,660
1L220708,708,no,yes,no,745
1L220709,709,no,yes,no,834
1L220710,710,no,yes,no,321
1L220711,711,no,no,no,762
1L220712,712,no,yes,yes,592
1L220713,713,no,yes,no,514
1L220714,714,no,yes,no,771
1L220715,715,no,yes,no,694
1L220716,716,no,no,no,798
1L220717,717,no,yes,yes,686
1L220718,718,unknown,yes,no,741
1L220719,719,no,no,no,375
1L220720,720,no,no,no,691
1L220721,721,no,yes,yes,543
1L220722,722,no,yes,no,394
1L220723,723,no,yes,no,349
1L220724,724,no,yes,yes,356
1L220725,725,no,no,no,346
1L220726,726,unknown,yes,no,306
1L220727,727,no,no,no,675
1L220728,728,no,no,no,830
1L220729,729,no,no,yes,452
1L220730,730,no,no,no,729
1L220731,731,no,yes,no,759
1L220732,732,no,no,no,385
1L220733,733,no,no,no,768
1L220734,734,no,yes,no,320
1L220735,735,no,yes,yes,400
1L220736,736,no,yes,no,753
1L220737,737,no,no,no,484
1L220738,738,no,no,no,813
1L220739,739,no,yes,yes,420
1L220740,740,no,no,no,438
1L220741,741,no,no,no,424
1L220742,742,no,no,no,350
1L220743,743,unknown,yes,no,622
1L220744,744,no,no,no,513
1L220745,745,unknown,yes,no,794
1L220746,746,no,yes,no,837
1L220747,747,unknown,yes,no,597
1L220748,748,no,yes,no,827
1L220749,749,no,no,no,845
1L220750,750,no,yes,no,356
1L220751,751,no,yes,no,593
1L220752,752,no,no,yes,786
1L220753,753,no,yes,no,374
1L220754,754,unknown,yes,no,729
1L220755,755,no,no,no,364
1L220756,756,no,yes,yes,326
1L220757,757,unknown,yes,no,737
1L220758,758,no,yes,no,659
1L220759,759,no,unknown,unknown,488
1L220760,760,no,no,no,668
1L220761,761,no,no,no,409
1L220762,762,no,yes,no,415
1L220763,763,no,yes,no,590
1L220764,764,no,yes,yes,843
1L220765,765,no,no,no,782
1L220766,766,unknown,yes,no,573
1L220767,767,no,yes,no,454
1L220768,768,no,no,yes,396
1L220769,769,no,no,no,749
1L220770,770,no,no,no,426
1L220771,771,no,yes,no,804
1L220772,772,no,yes,no,430
1L220773,773,no,yes,no,409
1L220774,774,no,yes,no,573
1L220775,775,unknown,yes,no,490
1L220776,776,no,no,no,437
1L220777,777,no,yes,yes,494
1L220778,778,no,unknown,unknown,496
1L220779,779,no,no,no,726
1L220780,780,no,yes,no,383
1L220781,781,no,no,yes,645
1L220782,782,no,no,no,624
1L220783,783,no,no,no,814
1L220784,784,no,no,no,735
1L220785,785,no,yes,yes,813
1L220786,786,no,yes,no,549
1L220787,787,no,yes,no,346
1L220788,788,no,yes,no,774
1L220789,789,no,no,no,766
1L220790,790,unknown,yes,no,561
1L220791,791,unknown,yes,no,430
1L220792,792,no,yes,yes,410
1L220793,793,no,yes,no,441
1L220794,794,no,no,no,436
1L220795,795,no,yes,no,567
1L220796,796,no,yes,no,471
1L220797,797,no,yes,no,749
1L220798,798,no,yes,no,764
1L220799,799,no,no,no,708
1L220800,800,no,yes,no,816
1L220801,801,no,yes,no,366
1L220802,802,no,yes,yes,656
1L220803,803,no,yes,no,358
1L220804,804,no,unknown,unknown,418
1L220805,805,no,yes,no,454
1L220806,806,unknown,no,yes,645
1L220807,807,no,yes,yes,591
1L220808,808,no,yes,yes,647
1L220809,809,no,yes,no,600
1L220810,810,no,yes,no,530
1L220811,811,unknown,yes,no,610
1L220812,812,no,yes,no,346
1L220813,813,no,no,yes,327
1L220814,814,no,yes,no,811
1L220815,815,no,no,no,587
1L220816,816,unknown,no,no,306
1L220817,817,unknown,yes,yes,629
1L220818,818,no,no,no,692
1L220819,819,no,yes,yes,726
1L220820,820,no,yes,yes,796
1L220821,821,no,no,no,593
1L220822,822,unknown,no,no,730
1L220823,823,no,yes,no,781
1L220824,824,no,no,no,538
1L220825,825,no,yes,no,498
1L220826,826,no,no,yes,623
1L220827,827,no,yes,no,377
1L220828,828,unknown,no,no,513
1L220829,829,unknown,unknown,unknown,716
1L220830,830,unknown,yes,no,570
1L220831,831,no,unknown,unknown,664
1L220832,832,no,yes,no,385
1L220833,833,no,yes,no,725
1L220834,834,no,no,no,481
1L220835,835,no,yes,no,664
1L220836,836,no,no,no,803
1L220837,837,no,yes,no,783
1L220838,838,no,no,no,841
1L220839,839,unknown,no,no,613
1L220840,840,no,no,no,769
1L220841,841,no,no,no,398
1L220842,842,no,no,no,590
1L220843,843,no,no,yes,397
1L220844,844,unknown,yes,no,766
1L220845,845,no,no,no,739
1L220846,846,no,yes,no,428
1L220847,847,no,yes,yes,742
1L220848,848,unknown,yes,yes,513
1L220849,849,no,no,no,746
1L220850,850,no,yes,no,319
1L220851,851,unknown,no,no,358
1L220852,852,no,yes,no,832
1L220853,853,no,no,no,621
1L220854,854,no,no,no,300
1L220855,855,no,no,no,520
1L220856,856,no,yes,yes,393
1L220857,857,no,yes,no,594
1L220858,858,no,yes,no,792
1L220859,859,unknown,yes,no,697
1L220860,860,no,yes,yes,569
