client_id,campaign,pdays,previous,poutcome,outcome
83,1,86,1,nonexistent,no
84,3,48,1,success,no
85,1,15,0,nonexistent,no
86,6,51,0,nonexistent,no
87,7,52,1,nonexistent,no
88,4,19,1,nonexistent,yes
89,0,115,0,nonexistent,yes
90,3,230,0,nonexistent,no
91,3,211,0,nonexistent,no
92,4,21,1,failure,no
93,0,55,0,nonexistent,no
94,1,211,1,nonexistent,no
95,0,253,0,nonexistent,no
96,1,32,1,nonexistent,no
97,6,114,1,nonexistent,no
98,4,16,0,nonexistent,no
99,5,55,0,nonexistent,no
100,2,223,1,nonexistent,no
101,7,176,1,failure,no
102,5,205,0,nonexistent,no
103,4,119,1,nonexistent,no
104,3,203,0,nonexistent,no
105,1,101,0,nonexistent,no
106,1,216,0,nonexistent,no
107,0,44,0,nonexistent,no
108,9,37,1,nonexistent,no
109,6,219,1,nonexistent,no
110,1,32,0,nonexistent,no
111,6,235,1,nonexistent,no
112,5,15,0,nonexistent,no
113,9,172,1,nonexistent,no
114,1,251,1,failure,no
115,5,188,0,nonexistent,no
116,4,128,0,nonexistent,yes
117,8,131,1,nonexistent,no
118,2,170,1,nonexistent,no
119,7,144,1,nonexistent,no
120,1,152,0,nonexistent,no
121,1,32,0,nonexistent,no
122,7,26,1,failure,no
123,8,106,0,nonexistent,no
124,4,250,0,failure,no
125,0,176,0,nonexistent,no
126,4,63,0,nonexistent,no
127,8,57,1,failure,no
128,9,35,0,nonexistent,no
129,7,226,0,failure,yes
130,7,96,0,nonexistent,no
131,0,7,1,nonexistent,no
132,6,133,1,nonexistent,no
133,5,232,0,nonexistent,yes
134,2,142,1,nonexistent,no
135,6,17,1,nonexistent,no
136,8,166,0,nonexistent,yes
137,5,24,1,nonexistent,no
138,1,118,1,nonexistent,no
139,0,18,1,nonexistent,no
140,0,233,1,nonexistent,yes
141,0,194,0,nonexistent,no
142,5,9,1,nonexistent,no
143,0,117,1,nonexistent,no
144,4,233,0,success,yes
145,6,60,1,nonexistent,no
146,5,180,1,nonexistent,no
147,8,188,1,nonexistent,no
148,1,205,1,nonexistent,no
149,6,89,1,failure,no
150,0,122,1,nonexistent,no
151,8,190,0,success,yes
152,7,5,0,nonexistent,no
153,7,168,1,nonexistent,no
154,8,127,0,success,yes
155,0,89,1,nonexistent,no
156,7,188,0,nonexistent,no
157,0,114,0,nonexistent,no
158,5,48,1,nonexistent,no
159,5,183,0,nonexistent,no
160,1,216,1,nonexistent,no
161,4,134,1,nonexistent,no
162,4,87,1,failure,no
163,4,15,0,nonexistent,no
164,7,51,0,failure,no
165,8,3,0,nonexistent,no
166,3,114,1,success,yes
167,3,101,0,nonexistent,no
168,6,59,0,nonexistent,no
169,0,227,0,nonexistent,no
170,8,212,1,nonexistent,no
171,8,185,0,nonexistent,no
172,9,114,0,nonexistent,no
173,5,188,0,nonexistent,no
174,2,144,0,failure,no
175,1,39,1,nonexistent,no
176,6,19,0,nonexistent,no
177,2,132,1,nonexistent,no
178,9,90,0,nonexistent,no
179,7,143,1,success,yes
180,2,159,0,nonexistent,yes
181,0,105,1,nonexistent,no
182,1,140,1,nonexistent,no
183,8,115,1,nonexistent,no
184,5,70,1,nonexistent,no
185,5,38,1,nonexistent,no
186,6,222,1,nonexistent,no
187,9,251,1,nonexistent,no
188,6,229,0,success,yes
189,4,21,1,nonexistent,no
190,5,83,0,nonexistent,no
191,9,215,0,nonexistent,no
192,2,253,0,nonexistent,no
193,7,10,1,nonexistent,no
194,2,254,1,nonexistent,no
195,2,106,0,failure,no
196,7,249,1,failure,no
197,2,17,0,nonexistent,yes
198,6,44,0,nonexistent,no
199,1,227,1,nonexistent,no
200,7,175,0,nonexistent,no
201,0,144,0,failure,no
202,6,137,1,nonexistent,no
203,1,95,0,nonexistent,no
204,8,198,0,nonexistent,no
205,3,244,1,success,no
206,2,256,0,nonexistent,no
207,6,18,0,nonexistent,no
208,1,247,0,nonexistent,no
209,0,69,1,nonexistent,no
210,7,214,1,nonexistent,no
211,9,73,1,nonexistent,no
212,9,149,0,nonexistent,no
213,4,72,0,nonexistent,no
214,6,72,1,failure,no
215,7,86,0,failure,no
216,9,33,1,nonexistent,no
217,5,101,1,nonexistent,no
218,0,224,0,nonexistent,no
219,9,95,1,nonexistent,no
220,5,177,0,nonexistent,no
221,0,164,1,nonexistent,no
222,5,45,1,nonexistent,no
223,3,197,1,nonexistent,no
224,5,79,1,nonexistent,no
225,7,129,0,nonexistent,no
226,4,25,0,failure,no
227,9,1,0,nonexistent,no
228,6,158,1,nonexistent,no
229,4,69,1,success,yes
230,8,232,0,nonexistent,no
231,0,203,0,nonexistent,no
232,1,171,1,nonexistent,no
233,9,194,0,nonexistent,no
234,6,105,0,nonexistent,yes
235,6,204,1,nonexistent,no
236,4,113,1,nonexistent,no
237,8,136,0,nonexistent,no
238,6,252,1,nonexistent,no
239,2,44,1,nonexistent,yes
240,8,140,1,nonexistent,no
241,1,19,1,nonexistent,no
242,0,139,1,nonexistent,no
243,1,149,0,nonexistent,no
244,4,139,0,nonexistent,no
245,3,148,0,nonexistent,no
246,8,56,0,nonexistent,no
247,4,248,0,nonexistent,no
248,0,238,0,failure,no
249,3,66,1,nonexistent,no
250,6,144,1,nonexistent,no
251,6,238,1,nonexistent,no
252,2,51,1,nonexistent,no
253,6,71,0,nonexistent,no
254,6,237,0,nonexistent,no
255,1,138,0,nonexistent,no
256,6,254,1,nonexistent,no
257,7,83,0,nonexistent,no
258,6,187,1,nonexistent,no
259,1,234,0,nonexistent,no
260,7,60,0,nonexistent,no
261,3,87,1,nonexistent,no
262,1,201,1,nonexistent,yes
263,1,64,1,success,yes
264,8,9,1,nonexistent,yes
265,9,244,0,nonexistent,no
266,6,236,0,nonexistent,no
267,0,71,0,nonexistent,no
268,1,67,1,nonexistent,no
269,4,184,1,nonexistent,no
270,6,44,0,nonexistent,no
271,8,150,1,nonexistent,no
272,0,55,1,nonexistent,no
273,6,142,0,nonexistent,no
274,6,219,1,nonexistent,no
275,9,80,1,failure,no
276,0,64,1,nonexistent,no
277,7,12,0,nonexistent,no
278,6,183,1,nonexistent,no
279,4,250,0,nonexistent,no
280,1,137,1,nonexistent,no
281,3,243,0,nonexistent,no
282,0,193,1,nonexistent,no
283,1,65,0,failure,no
284,9,199,1,nonexistent,no
285,3,196,0,nonexistent,no
286,1,139,1,nonexistent,no
287,5,8,1,nonexistent,no
288,2,120,0,failure,no
289,3,185,0,failure,yes
290,8,123,1,nonexistent,no
291,2,91,1,nonexistent,no
292,3,218,1,failure,no
293,5,69,0,success,yes
294,1,48,0,nonexistent,no
295,6,78,0,nonexistent,no
296,3,188,0,nonexistent,no
297,2,248,0,nonexistent,no
298,3,97,1,failure,no
299,8,16,0,nonexistent,no
300,0,211,1,nonexistent,no
301,7,103,0,nonexistent,no
302,8,237,0,nonexistent,no
303,1,46,0,nonexistent,yes
304,4,228,1,nonexistent,no
305,7,111,0,nonexistent,no
306,3,216,0,nonexistent,no
307,3,84,1,nonexistent,no
308,1,160,1,nonexistent,no
309,1,78,0,failure,yes
310,4,63,1,nonexistent,no
311,5,90,0,nonexistent,no
312,7,71,0,nonexistent,no
313,2,51,0,nonexistent,no
314,3,210,0,nonexistent,no
315,0,234,1,nonexistent,no
316,1,165,0,nonexistent,yes
317,8,37,1,nonexistent,no
318,0,151,1,nonexistent,no
319,7,235,0,nonexistent,no
320,2,250,0,nonexistent,no
321,9,110,1,success,no
322,2,251,1,nonexistent,no
323,4,225,0,nonexistent,no
324,2,191,0,nonexistent,no
325,1,225,1,nonexistent,no
326,8,84,1,nonexistent,no
327,9,202,0,nonexistent,no
328,5,239,1,nonexistent,no
329,7,3,0,nonexistent,no
330,6,150,1,nonexistent,no
331,7,178,0,nonexistent,no
332,5,107,0,nonexistent,no
333,4,76,0,nonexistent,no
334,4,12,1,nonexistent,no
335,5,100,1,nonexistent,no
336,8,5,1,failure,no
337,4,101,0,nonexistent,no
338,4,173,1,nonexistent,no
339,6,230,0,nonexistent,yes
340,1,148,1,nonexistent,no
341,2,194,0,success,yes
342,8,179,0,nonexistent,no
343,2,170,0,nonexistent,no
344,4,204,1,nonexistent,no
345,4,22,1,nonexistent,no
346,9,210,1,success,no
347,8,254,0,nonexistent,no
348,5,254,1,nonexistent,no
349,8,79,1,nonexistent,no
350,9,230,0,nonexistent,no
351,5,50,0,nonexistent,no
352,1,34,0,nonexistent,no
353,2,109,0,nonexistent,no
354,9,77,0,nonexistent,no
355,4,207,1,nonexistent,no
356,9,229,1,nonexistent,no
357,1,102,1,nonexistent,no
358,2,229,1,failure,no
359,3,46,1,nonexistent,no
360,1,227,0,nonexistent,no
361,0,204,0,nonexistent,no
362,7,148,1,nonexistent,no
363,3,91,1,nonexistent,no
364,5,189,1,nonexistent,no
365,1,134,0,nonexistent,yes
366,7,229,0,nonexistent,no
367,1,109,1,nonexistent,no
368,4,180,1,nonexistent,no
369,1,74,0,nonexistent,no
370,1,47,0,nonexistent,no
371,7,105,1,nonexistent,no
372,5,139,1,nonexistent,no
373,9,119,0,nonexistent,no
374,1,236,0,nonexistent,no
375,8,163,0,nonexistent,no
376,0,58,1,nonexistent,no
377,6,138,1,nonexistent,no
378,9,113,1,nonexistent,no
379,3,194,1,nonexistent,no
380,4,35,1,nonexistent,no
381,4,18,1,nonexistent,no
382,9,124,0,success,yes
383,9,173,0,nonexistent,no
384,6,89,1,nonexistent,no
385,4,106,1,nonexistent,no
386,3,53,1,nonexistent,no
387,6,81,1,nonexistent,no
388,6,10,0,nonexistent,no
389,6,39,1,failure,no
390,0,88,0,nonexistent,no
391,0,90,1,nonexistent,no
392,7,18,1,nonexistent,no
393,3,154,0,nonexistent,no
394,1,244,1,nonexistent,no
395,6,214,0,nonexistent,no
396,2,149,0,nonexistent,no
397,9,1,1,nonexistent,no
398,7,73,1,nonexistent,no
399,9,256,0,nonexistent,no
400,4,199,1,failure,no
401,2,57,1,nonexistent,no
402,4,57,1,nonexistent,no
403,6,240,1,nonexistent,no
404,5,212,1,nonexistent,no
405,7,42,1,nonexistent,no
406,4,179,1,success,no
407,2,236,0,nonexistent,no
408,9,213,0,nonexistent,no
409,0,89,1,nonexistent,no
410,1,108,0,nonexistent,no
411,9,134,0,nonexistent,no
412,0,128,1,nonexistent,no
413,2,24,0,nonexistent,no
414,5,116,1,nonexistent,no
415,8,241,0,nonexistent,no
416,7,163,0,nonexistent,no
417,8,126,0,failure,no
418,1,211,0,nonexistent,no
419,1,140,0,nonexistent,no
420,0,169,0,nonexistent,no
421,5,87,1,success,yes
422,4,109,0,nonexistent,no
423,6,188,0,nonexistent,no
424,6,178,1,failure,no
425,5,232,0,nonexistent,no
426,4,158,0,success,yes
427,6,222,0,nonexistent,no
428,8,6,1,nonexistent,no
429,4,169,1,failure,no
430,9,221,0,nonexistent,no
431,9,199,0,nonexistent,no
432,9,175,0,nonexistent,no
433,2,46,0,nonexistent,no
434,3,128,0,nonexistent,no
435,0,177,1,nonexistent,no
436,6,191,0,nonexistent,no
437,8,7,1,failure,no
438,5,228,1,nonexistent,no
439,1,25,1,nonexistent,no
440,7,120,1,nonexistent,no
441,8,179,0,nonexistent,no
442,3,100,0,nonexistent,no
443,4,56,1,nonexistent,no
444,3,42,1,nonexistent,no
445,7,240,1,nonexistent,no
446,5,38,0,nonexistent,no
447,2,162,1,nonexistent,no
448,5,239,0,nonexistent,no
449,0,32,1,success,yes
450,2,127,0,nonexistent,no
451,1,129,0,nonexistent,yes
452,9,25,0,nonexistent,no
453,1,136,1,nonexistent,no
454,5,99,1,nonexistent,no
455,4,54,1,failure,no
456,5,170,1,nonexistent,no
457,3,40,0,nonexistent,no
458,7,242,1,nonexistent,no
459,6,160,0,nonexistent,no
460,3,180,1,nonexistent,no
461,2,225,0,nonexistent,no
462,5,148,0,nonexistent,no
463,6,106,1,nonexistent,no
464,4,61,1,success,no
465,8,53,1,nonexistent,no
466,6,201,0,nonexistent,no
467,3,202,0,nonexistent,no
468,5,251,1,nonexistent,no
469,6,42,0,failure,no
470,0,254,0,failure,yes
471,3,226,0,nonexistent,no
472,6,3,1,nonexistent,yes
473,2,5,0,nonexistent,no
474,7,127,0,nonexistent,no
475,1,60,1,nonexistent,no
476,6,5,1,nonexistent,no
477,0,80,1,nonexistent,no
478,7,183,0,success,yes
479,0,110,1,nonexistent,no
480,5,118,1,nonexistent,yes
481,4,129,0,nonexistent,no
482,1,178,1,nonexistent,no
483,6,168,0,nonexistent,no
484,0,110,0,nonexistent,yes
485,1,194,0,nonexistent,no
486,3,16,0,nonexistent,no
487,2,167,0,nonexistent,yes
488,0,240,0,nonexistent,no
489,7,47,0,nonexistent,no
490,9,149,0,nonexistent,no
491,8,38,1,failure,no
492,7,165,0,nonexistent,no
493,3,154,0,nonexistent,no
494,5,235,0,failure,yes
495,5,57,1,nonexistent,yes
496,3,232,1,failure,no
497,8,13,0,nonexistent,no
498,9,61,1,nonexistent,no
499,9,0,0,nonexistent,no
500,8,113,1,failure,no
501,6,231,1,nonexistent,no
502,8,179,0,nonexistent,yes
503,6,245,0,nonexistent,no
504,3,62,0,nonexistent,no
505,6,129,1,nonexistent,no
506,0,163,1,nonexistent,no
507,8,232,0,nonexistent,no
508,4,140,1,nonexistent,no
509,3,207,0,nonexistent,no
510,2,116,0,nonexistent,no
511,9,86,1,nonexistent,no
512,1,187,0,failure,no
513,2,202,1,nonexistent,no
514,3,100,0,nonexistent,no
515,8,57,1,nonexistent,no
516,3,188,1,failure,no
517,4,241,0,nonexistent,no
518,3,29,1,failure,no
519,6,200,1,nonexistent,no
520,8,36,0,nonexistent,no
521,8,64,0,nonexistent,yes
522,0,102,1,nonexistent,no
523,7,107,0,nonexistent,no
524,1,56,0,nonexistent,no
525,4,37,1,nonexistent,no
526,0,221,1,nonexistent,no
527,6,179,0,nonexistent,no
528,8,189,0,nonexistent,no
529,1,163,1,nonexistent,no
530,7,219,0,nonexistent,no
531,5,81,1,nonexistent,no
532,5,23,1,nonexistent,no
533,2,142,0,nonexistent,no
534,6,177,0,nonexistent,no
535,3,30,0,nonexistent,no
536,2,7,0,failure,no
537,4,224,1,nonexistent,yes
538,1,119,0,nonexistent,no
539,7,49,0,nonexistent,no
540,8,152,1,nonexistent,no
541,7,55,0,nonexistent,no
542,1,236,0,nonexistent,no
543,9,82,0,nonexistent,no
544,6,144,1,nonexistent,no
545,3,234,1,nonexistent,no
546,1,60,1,nonexistent,no
547,2,129,0,nonexistent,no
548,5,174,0,nonexistent,no
549,2,100,0,nonexistent,no
550,0,3,0,nonexistent,no
551,8,85,1,nonexistent,no
552,0,166,0,failure,yes
553,2,154,0,nonexistent,no
554,2,94,0,nonexistent,no
555,8,236,0,nonexistent,no
556,4,145,1,nonexistent,no
557,3,56,0,nonexistent,yes
558,1,34,0,nonexistent,no
559,3,92,1,nonexistent,no
560,8,223,0,nonexistent,no
561,1,15,0,nonexistent,no
562,6,14,1,nonexistent,no
563,9,31,0,nonexistent,no
564,6,169,0,nonexistent,no
565,5,148,1,nonexistent,yes
566,6,242,0,nonexistent,no
567,6,141,0,nonexistent,no
568,0,64,1,nonexistent,no
569,5,141,1,nonexistent,no
570,6,17,0,nonexistent,no
571,4,39,1,success,yes
572,8,129,1,nonexistent,no
573,6,196,1,nonexistent,no
574,8,228,1,nonexistent,no
575,4,254,1,nonexistent,no
576,1,35,1,nonexistent,no
577,6,55,0,nonexistent,no
578,2,48,1,nonexistent,no
579,5,245,1,nonexistent,no
580,7,123,0,nonexistent,no
581,6,46,1,nonexistent,no
582,9,67,1,nonexistent,yes
583,8,232,0,nonexistent,yes
584,7,99,1,nonexistent,no
585,1,243,1,nonexistent,no
586,0,144,1,nonexistent,no
587,3,224,0,nonexistent,no
588,1,81,0,nonexistent,no
589,5,34,1,nonexistent,no
590,7,157,0,success,yes
591,1,186,0,nonexistent,no
592,5,9,0,nonexistent,no
593,1,224,1,nonexistent,no
594,3,148,0,nonexistent,no
595,7,40,1,nonexistent,no
596,9,35,0,nonexistent,no
597,1,113,0,nonexistent,no
598,9,73,1,failure,no
599,9,228,0,nonexistent,no
600,5,69,1,nonexistent,no
601,0,1,0,nonexistent,yes
602,7,153,0,nonexistent,no
603,1,185,0,nonexistent,no
604,9,77,0,nonexistent,no
605,2,239,1,failure,no
606,5,196,0,nonexistent,no
607,8,176,1,nonexistent,no
608,9,17,1,nonexistent,no
609,8,196,1,nonexistent,no
610,3,215,0,failure,yes
611,8,208,1,nonexistent,no
612,9,255,1,failure,no
613,2,176,1,nonexistent,no
614,6,71,0,nonexistent,no
615,2,178,0,nonexistent,no
616,2,27,0,nonexistent,no
617,6,46,0,nonexistent,no
618,7,235,1,nonexistent,no
619,0,95,0,nonexistent,no
620,9,26,0,success,yes
621,4,90,0,nonexistent,no
622,9,79,1,nonexistent,no
623,8,105,1,nonexistent,no
624,4,145,0,nonexistent,no
625,0,134,1,failure,yes
626,0,243,1,nonexistent,yes
627,7,213,1,nonexistent,no
628,8,115,1,nonexistent,no
629,7,102,0,failure,no
630,9,60,0,nonexistent,no
631,7,130,1,nonexistent,no
632,8,16,1,nonexistent,no
633,9,24,1,nonexistent,no
634,3,8,1,nonexistent,no
635,8,229,1,failure,no
636,4,203,1,failure,yes
637,5,209,0,nonexistent,no
638,7,85,0,nonexistent,no
639,7,212,0,nonexistent,no
640,9,18,1,nonexistent,yes
641,8,254,1,nonexistent,no
642,8,28,0,nonexistent,no
643,7,236,0,nonexistent,no
644,3,6,0,nonexistent,no
645,5,110,0,failure,no
646,1,80,1,nonexistent,no
647,2,201,0,nonexistent,no
648,5,187,0,nonexistent,no
649,6,100,1,nonexistent,no
650,6,111,1,nonexistent,no
651,3,213,0,nonexistent,no
652,8,83,0,nonexistent,no
653,7,102,0,nonexistent,no
654,8,61,0,nonexistent,no
655,5,244,1,nonexistent,no
656,2,55,0,nonexistent,no
657,7,166,0,failure,no
658,5,207,0,nonexistent,no
659,4,140,1,success,yes
660,2,27,0,failure,no
661,2,234,1,nonexistent,yes
662,0,113,1,nonexistent,yes
663,1,205,0,nonexistent,no
664,3,87,0,nonexistent,no
665,6,192,1,nonexistent,yes
666,8,247,0,failure,no
667,1,169,1,nonexistent,no
668,5,249,0,failure,no
669,9,67,1,nonexistent,no
670,0,253,0,nonexistent,no
671,3,153,1,nonexistent,no
672,3,238,0,nonexistent,no
673,4,13,1,nonexistent,no
674,1,219,1,success,no
675,8,164,0,nonexistent,yes
676,4,47,1,nonexistent,no
677,4,10,0,nonexistent,no
678,3,249,1,nonexistent,no
679,7,147,0,nonexistent,no
680,2,163,0,nonexistent,yes
681,5,17,1,nonexistent,no
682,8,42,1,nonexistent,no
683,6,143,0,nonexistent,no
684,7,157,0,nonexistent,no
685,8,117,0,nonexistent,no
686,2,106,1,nonexistent,yes
687,8,155,1,nonexistent,no
688,7,21,0,nonexistent,no
689,2,92,1,nonexistent,no
690,0,170,1,nonexistent,yes
691,0,177,0,nonexistent,no
692,5,169,1,nonexistent,no
693,4,130,1,nonexistent,no
694,4,229,1,nonexistent,no
695,0,245,1,failure,no
696,9,58,1,failure,no
697,0,240,0,success,yes
698,2,221,1,nonexistent,no
699,3,135,1,nonexistent,no
700,6,4,1,nonexistent,yes
701,1,32,1,failure,no
702,7,185,1,nonexistent,no
703,7,59,0,nonexistent,no
704,4,76,1,nonexistent,no
705,7,211,1,nonexistent,no
706,1,252,1,success,yes
707,8,251,1,nonexistent,no
708,5,167,0,nonexistent,no
709,8,146,0,nonexistent,no
710,4,92,0,nonexistent,no
711,3,20,0,nonexistent,no
712,0,30,0,nonexistent,no
713,8,81,0,nonexistent,no
714,0,113,1,nonexistent,no
715,5,20,1,nonexistent,no
716,6,22,0,nonexistent,no
717,2,156,0,nonexistent,no
718,3,137,0,nonexistent,no
719,4,74,1,failure,no
720,9,31,0,nonexistent,yes
721,6,216,0,nonexistent,no
722,6,233,0,nonexistent,no
723,6,49,0,nonexistent,no
724,8,161,1,nonexistent,no
725,5,201,0,nonexistent,no
726,6,29,0,failure,no
727,6,11,1,nonexistent,no
728,2,251,1,nonexistent,no
729,6,205,0,nonexistent,no
730,0,15,0,nonexistent,no
731,0,57,1,nonexistent,no
732,4,153,1,nonexistent,no
733,5,172,0,nonexistent,yes
734,5,187,1,success,yes
735,5,47,0,nonexistent,no
736,8,254,1,nonexistent,no
737,4,129,0,nonexistent,no
738,8,71,1,nonexistent,no
739,6,148,0,nonexistent,no
740,2,4,0,nonexistent,no
741,9,145,1,nonexistent,no
742,6,97,1,nonexistent,yes
743,2,134,0,nonexistent,no
744,4,104,0,nonexistent,yes
745,9,223,1,nonexistent,no
746,8,123,1,failure,no
747,8,206,0,nonexistent,no
748,7,77,0,nonexistent,no
749,9,228,1,nonexistent,no
750,9,60,1,failure,no
751,5,195,0,failure,yes
752,7,94,0,nonexistent,no
753,0,231,0,failure,no
754,9,112,0,nonexistent,no
755,0,102,1,nonexistent,no
756,4,181,1,nonexistent,no
757,6,227,1,nonexistent,no
758,6,214,1,nonexistent,no
759,0,140,1,nonexistent,no
760,2,206,0,nonexistent,no
761,9,124,0,failure,no
762,7,93,1,nonexistent,no
763,6,6,1,nonexistent,no
764,7,2,0,failure,no
765,4,197,0,nonexistent,no
766,1,146,1,failure,no
767,1,219,0,nonexistent,no
768,4,116,1,nonexistent,no
769,1,219,1,nonexistent,no
770,8,8,1,nonexistent,no
771,7,76,0,nonexistent,no
772,0,119,1,nonexistent,no
773,5,232,1,success,no
774,6,151,0,nonexistent,no
775,2,227,1,nonexistent,no
776,3,194,0,failure,no
777,3,66,1,nonexistent,no
778,5,41,1,nonexistent,no
779,8,97,0,nonexistent,no
780,5,133,1,nonexistent,yes
781,4,250,1,nonexistent,no
782,8,185,1,nonexistent,no
783,5,77,1,failure,no
784,2,157,1,nonexistent,no
785,5,72,0,failure,no
786,8,244,0,nonexistent,no
787,5,161,0,nonexistent,no
788,8,95,1,nonexistent,no
789,6,242,0,nonexistent,no
790,9,216,1,nonexistent,no
791,9,235,1,nonexistent,no
792,0,197,0,nonexistent,no
793,5,105,1,nonexistent,no
794,8,198,0,nonexistent,no
795,1,98,0,failure,no
796,2,156,0,nonexistent,no
797,4,165,1,failure,yes
798,0,243,1,failure,no
799,5,174,1,failure,no
800,6,17,1,nonexistent,no
801,4,162,1,nonexistent,no
802,5,16,0,nonexistent,no
803,1,131,1,failure,no
804,8,31,0,nonexistent,no
805,5,169,0,failure,no
806,3,206,0,nonexistent,no
807,5,126,0,nonexistent,no
808,7,218,1,nonexistent,no
809,2,207,1,failure,no
810,2,138,1,nonexistent,no
811,5,18,0,nonexistent,no
812,6,100,1,nonexistent,no
813,9,153,0,nonexistent,no
814,3,107,0,nonexistent,no
815,1,116,1,failure,no
816,1,31,1,nonexistent,no
817,7,222,0,nonexistent,no
818,7,161,0,nonexistent,no
819,0,196,0,nonexistent,no
820,0,55,1,nonexistent,no
821,3,106,1,nonexistent,no
822,7,208,1,nonexistent,no
823,8,60,1,nonexistent,no
824,3,126,0,nonexistent,no
825,2,162,1,nonexistent,yes
826,8,55,0,nonexistent,no
827,7,3,1,nonexistent,no
828,9,149,1,nonexistent,no
829,2,125,0,nonexistent,no
830,5,252,1,failure,no
831,0,45,0,nonexistent,no
832,6,185,0,failure,no
833,0,217,1,nonexistent,no
834,6,98,1,nonexistent,no
835,3,177,0,nonexistent,no
836,8,236,1,nonexistent,no
837,8,27,1,nonexistent,no
838,3,243,0,nonexistent,no
839,4,158,1,nonexistent,no
840,3,19,0,nonexistent,no
841,3,174,1,nonexistent,no
842,8,14,1,nonexistent,no
843,9,141,1,nonexistent,no
844,8,6,1,nonexistent,no
845,5,18,1,nonexistent,no
846,2,169,1,failure,no
847,8,236,0,nonexistent,no
848,8,222,0,nonexistent,no
849,4,250,0,nonexistent,no
850,0,19,1,nonexistent,no
851,4,199,0,nonexistent,no
852,8,166,0,failure,no
853,3,97,1,nonexistent,no
854,0,24,0,nonexistent,no
855,2,160,0,nonexistent,yes
856,6,187,1,nonexistent,no
857,1,169,0,nonexistent,no
858,2,74,0,nonexistent,no
859,7,240,0,failure,no
860,8,141,0,nonexistent,no
861,4,103,1,failure,no
862,7,139,1,failure,no
863,8,216,1,nonexistent,no
864,0,194,0,nonexistent,no
865,7,76,1,nonexistent,no
866,3,173,0,nonexistent,no
867,7,17,1,nonexistent,no
868,0,96,1,nonexistent,no
869,2,117,1,failure,no
870,7,168,0,nonexistent,no
871,9,84,0,nonexistent,yes
872,4,219,1,nonexistent,no
873,1,109,1,nonexistent,no
874,2,149,0,nonexistent,no
875,3,51,1,failure,no
876,6,87,1,nonexistent,no
877,3,21,0,nonexistent,no
878,8,4,0,nonexistent,no
879,8,163,1,nonexistent,no
880,2,30,0,nonexistent,no
881,6,71,0,failure,no
882,1,116,0,nonexistent,no
883,6,50,0,nonexistent,no
884,7,110,1,nonexistent,no
885,7,153,1,nonexistent,no
886,5,82,0,nonexistent,no
887,9,99,0,nonexistent,no
888,0,255,0,nonexistent,no
889,7,249,1,nonexistent,no
890,9,143,1,nonexistent,yes
891,3,149,0,nonexistent,no
892,3,116,1,nonexistent,no
893,1,156,1,nonexistent,no
